region_id,dane_code,city
17,52480,Nariño
17,52490,Olaya Herrera
17,52506,Ospina
17,52520,Francisco Pizarro
17,52540,Policarpa
17,52560,Potosí
17,52565,Providencia
17,52573,Puerres
17,52585,Pupiales
17,52612,Ricaurte
17,52621,Roberto Payán
17,52678,Samaniego
17,52683,Sandoná
17,52685,San Bernardo
17,52687,San Lorenzo
17,52693,San Pablo
17,52694,San Pedro de Cartago
17,52696,Santa Bárbara
17,52699,Santacruz
17,52720,Sapuyes
17,52786,Taminango
17,52788,Tangua
17,52835,San Andrés de Tumaco
17,52838,Túquerres
17,52885,Yacuanquer
18,54001,Cúcuta
18,54003,Abrego
18,54051,Arboledas
18,54099,Bochalema
18,54109,Bucarasica
18,54125,Cácota
18,54128,Cachirá
18,54172,Chinácota
18,54174,Chitagá
18,54206,Convención
18,54223,Cucutilla
18,54239,Durania
18,54245,El Carmen
18,54250,El Tarra
18,54261,El Zulia
18,54313,Gramalote
18,54344,Hacarí
18,54347,Herrán
18,54377,Labateca
18,54385,La Esperanza
18,54398,La Playa
18,54405,Los Patios
18,54418,Lourdes
18,54480,Mutiscua
18,54498,Ocaña
18,54518,Pamplona
18,54520,Pamplonita
18,54553,Puerto 21
18,54599,Ragonvalia
18,54660,Salazar
18,54670,San Calixto
18,54673,San Cayetano
18,54680,Santiago
18,54720,Sardinata
18,54743,Silos
18,54800,Teorama
18,54810,Tibú
18,54820,Toledo
18,54871,Villa Caro
18,54874,Villa del Rosario
19,63001,Armenia
19,63111,Buenavista
19,63130,Calarca
19,63190,Circasia
19,63212,10
19,63272,Filandia
19,63302,Génova
19,63401,La Tebaida
19,63470,Montenegro
19,63548,Pijao
19,63594,Quimbaya
19,63690,Salento
20,66001,Pereira
20,66045,Apía
20,66075,Balboa
20,66088,Belén de Umbría
20,66170,Dosquebradas
20,66318,Guática
20,66383,La Celia
20,66400,La Virginia
20,66440,Marsella
20,66456,Mistrató
20,66572,Pueblo Rico
20,66594,Quinchía
20,66682,Santa Rosa de Cabal
20,66687,Santuario
21,68001,Bucaramanga
21,68013,Aguada
21,68020,Albania
21,68051,Aratoca
21,68077,Barbosa
21,68079,Barichara
21,68081,Barrancabermeja
21,68092,Betulia
21,68101,Bolivar
21,68121,Cabrera
21,68132,California
21,68147,Capitanejo
21,68152,Carcasí
21,68160,Cepitá
21,68162,Cerrito
21,68167,Charalá
21,68169,Charta
21,68176,Chima
21,68179,Chipatá
21,68190,Cimitarra
21,68207,Concepción
21,68209,Confines
21,68211,Contratación
21,68217,Coromoro
21,68229,Curití
21,68235,El Carmen de Chucurí
21,68245,El Guacamayo
21,68250,El Peñón
21,68255,El Playón
21,68264,Encino
21,68266,Enciso
21,68271,Florián
21,68276,Floridablanca
21,68296,Galán
21,68298,Gambita
21,68307,Girón
21,68318,Guaca
21,68320,Guadalupe
21,68322,Guapotá
21,68324,Guavatá
21,68327,Güepsa
21,68344,Hato
21,68368,Jesús María
21,68370,Jordán
21,68377,La Belleza
21,68385,Landázuri
21,68397,La Paz
21,68406,Lebríja
21,68418,Los Santos
21,68425,Macaravita
21,68432,Málaga
21,68444,Matanza
21,68464,Mogotes
21,68468,Molagavita
21,68498,Ocamonte
21,68500,Oiba
21,68502,Onzaga
21,68522,Palmar
21,68524,Palmas del Socorro
21,68533,Páramo
21,68547,Piedecuesta
21,68549,Pinchote
21,68572,Puente Nacional
21,68573,Puerto Parra
21,68575,Puerto Wilches
21,68615,Rionegro
21,68655,Sabana de Torres
21,68669,San Andrés
21,68673,San Benito
21,68679,San Gil
21,68682,San Joaquín
21,68684,San José de Miranda
21,68686,San Miguel
21,68689,San Vicente de Chucurí
21,68705,Santa Bárbara
21,68720,Santa Helena del Opón
21,68745,Simacota
21,68755,Socorro
21,68770,Suaita
21,68773,22
21,68780,Suratá
21,68820,Tona
21,68855,Valle de San José
21,68861,Vélez
21,68867,Vetas
21,68872,Villanueva
21,68895,Zapatoca
22,70001,Sincelejo
22,70110,Buenavista
22,70124,Caimito
22,70204,Coloso
22,70215,Corozal
22,70221,Coveñas
22,70230,Chalán
22,70233,El Roble
22,70235,Galeras
22,70265,Guaranda
22,70400,La Unión
22,70418,Los Palmitos
22,70429,Majagual
22,70473,Morroa
22,70508,Ovejas
22,70523,Palmito
22,70670,Sampués
22,70678,San Benito Abad
22,70702,San Juan de Betulia
22,70708,San Marcos
22,70713,San Onofre
22,70717,San Pedro
22,70742,San Luis de Sincé
22,70771,22
22,70820,Santiago de Tolú
22,70823,Tolú Viejo
