geolocation_id,channels,operation,id
5790,25,Nacional privado,568
5792,19,Nacional privado futuro,569
5792,14,Nacional privado,570
5792,15,Nacional privado,571
5792,16,Nacional público,572
5792,18,Regional público,573
5809,19,Nacional privado futuro,574
5809,14,Nacional privado,575
5809,15,Nacional privado,576
5809,16,Nacional público,577
5809,18,Regional público,578
5819,19,Nacional privado futuro,579
5819,16,Nacional público,580
5819,18,Regional público,581
5819,14,Nacional privado,582
5819,15,Nacional privado,583
5837,30,Local sin ánimo de lucro,584
5837,38,Nacional privado futuro,585
5837,28,Nacional público,586
5837,27,Regional público,587
5837,21,Nacional privado,588
5837,24,Nacional privado,589
5837,31,Local con ánimo de lucro,590
5842,14,Nacional privado,591
5842,15,Nacional privado,592
5842,16,Nacional público,593
5842,18,Regional público,594
5842,19,Nacional privado futuro,595
5847,19,Nacional privado futuro,596
5847,14,Nacional privado,597
5847,15,Nacional privado,598
5847,16,Nacional público,599
5847,18,Regional público,600
5854,46,Nacional privado futuro,601
5854,43,Nacional privado,602
5854,44,Nacional privado,603
5854,16,Nacional público,604
5854,18,Regional público,605
5856,19,Nacional privado futuro,606
5856,14,Nacional privado,607
5856,15,Nacional privado,608
5856,16,Nacional público,609
5856,18,Regional público,610
5858,19,Nacional privado futuro,611
5858,49,Nacional privado,612
5858,45,Nacional privado,613
5858,35,Nacional público,614
5858,18,Regional público,615
5861,19,Nacional privado futuro,616
5861,14,Nacional privado,617
5861,15,Nacional privado,618
5861,16,Nacional público,619
5861,18,Regional público,620
5873,21,Nacional público,621
5873,14,Nacional privado,622
5873,15,Nacional privado,623
5873,18,Regional público,624
5873,19,Nacional privado futuro,625
5885,19,Nacional privado futuro,626
5885,49,Nacional privado,627
5885,45,Nacional privado,628
5885,35,Nacional público,629
5885,18,Regional público,630
5887,14,Nacional privado,631
5887,15,Nacional privado,632
5887,19,Nacional privado futuro,633
5887,16,Nacional público,634
5887,18,Regional público,635
5890,19,Nacional privado futuro,636
5890,49,Nacional privado,637
5890,45,Nacional privado,638
5890,16,Nacional público,639
5890,18,Regional público,640
5893,27,Nacional público,641
5893,19,Nacional privado futuro,642
5893,49,Nacional privado,643
5893,45,Nacional privado,644
5893,18,Regional público,645
5895,46,Nacional privado futuro,646
5895,43,Nacional privado,647
5895,44,Nacional privado,648
5895,16,Nacional público,649
5895,18,Regional público,650
8001,21,Local sin ánimo de lucro,651
8001,19,Nacional privado futuro,652
8001,14,Nacional privado,653
8001,15,Nacional privado,654
8001,16,Nacional público,655
8001,17,Regional público,656
8001,25,Local con ánimo de lucro,657
8078,38,Nacional privado futuro,658
8078,16,Nacional público,659
8078,17,Regional público,660
8078,21,Local sin ánimo de lucro,661
8078,34,Nacional privado,662
8078,32,Nacional privado,663
8078,22,Local con ánimo de lucro,664
8137,38,Nacional privado futuro,665
8137,16,Nacional público,666
8137,17,Regional público,667
8137,34,Nacional privado,668
8137,32,Nacional privado,669
8141,38,Nacional privado futuro,670
8141,16,Nacional público,671
8141,17,Regional público,672
8141,34,Nacional privado,673
8141,32,Nacional privado,674
8296,19,Nacional privado futuro,675
8296,16,Nacional público,676
8296,17,Regional público,677
8296,34,Nacional privado,678
8296,32,Nacional privado,679
8296,25,Local con ánimo de lucro,680
8372,38,Nacional privado futuro,681
8372,33,Nacional público,682
8372,48,Regional público,683
8372,34,Nacional privado,684
8372,32,Nacional privado,685
8421,38,Nacional privado futuro,686
8421,16,Nacional público,687
8421,17,Regional público,688
8421,34,Nacional privado,689
8421,32,Nacional privado,690
8433,19,Nacional privado futuro,691
8433,16,Nacional público,692
8433,17,Regional público,693
8433,14,Nacional privado,694
8433,15,Nacional privado,695
8433,25,Local con ánimo de lucro,696
8436,38,Nacional privado futuro,697
8436,16,Nacional público,698
8436,17,Regional público,699
8436,34,Nacional privado,700
8436,32,Nacional privado,701
8520,19,Nacional privado futuro,702
8520,16,Nacional público,703
8520,17,Regional público,704
8520,14,Nacional privado,705
8520,15,Nacional privado,706
8549,38,Nacional privado futuro,707
8549,16,Nacional público,708
8549,17,Regional público,709
8549,34,Nacional privado,710
8549,32,Nacional privado,711
8558,38,Nacional privado futuro,712
8558,16,Nacional público,713
8558,17,Regional público,714
8558,34,Nacional privado,715
8558,32,Nacional privado,716
8560,38,Nacional privado futuro,717
8560,16,Nacional público,718
8560,17,Regional público,719
8560,34,Nacional privado,720
8560,32,Nacional privado,721
8573,38,Nacional privado futuro,722
8573,33,Nacional público,723
8573,48,Regional público,724
8573,34,Nacional privado,725
8573,32,Nacional privado,726
8573,25,Local con ánimo de lucro,727
